id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
"ID12101",48,"FEMALE","INNER_CITY",17546.000000,"NO",1,"NO","NO","NO","NO","YES"
"ID12102",40,"MALE","TOWN",30085.100000,"YES",3,"YES","NO","YES","YES","NO"
"ID12103",51,"FEMALE","INNER_CITY",16575.400000,"YES",0,"YES","YES","YES","NO","NO"
"ID12104",23,"FEMALE","TOWN",20375.400000,"YES",3,"NO","NO","YES","NO","NO"
"ID12105",57,"FEMALE","RURAL",50576.300000,"YES",0,"NO","YES","NO","NO","NO"
"ID12106",57,"FEMALE","TOWN",37869.600000,"YES",2,"NO","YES","YES","NO","YES"
"ID12107",22,"MALE","RURAL",8877.070000,"NO",0,"NO","NO","YES","NO","YES"
"ID12108",58,"MALE","TOWN",24946.600000,"YES",0,"YES","YES","YES","NO","NO"
"ID12109",37,"FEMALE","SUBURBAN",25304.300000,"YES",2,"YES","NO","NO","NO","NO"
"ID12110",54,"MALE","TOWN",24212.100000,"YES",2,"YES","YES","YES","NO","NO"
"ID12111",66,"FEMALE","TOWN",59803.900000,"YES",0,"NO","YES","YES","NO","NO"
"ID12112",52,"FEMALE","INNER_CITY",26658.800000,"NO",0,"YES","YES","YES","YES","NO"
"ID12113",44,"FEMALE","TOWN",15735.800000,"YES",1,"NO","YES","YES","YES","YES"
"ID12114",66,"FEMALE","TOWN",55204.700000,"YES",1,"YES","YES","YES","YES","YES"
"ID12115",36,"MALE","RURAL",19474.600000,"YES",0,"NO","YES","YES","YES","NO"
"ID12116",38,"FEMALE","INNER_CITY",22342.100000,"YES",0,"YES","YES","YES","YES","NO"
"ID12117",37,"FEMALE","TOWN",17729.800000,"YES",2,"NO","NO","NO","YES","NO"
"ID12118",46,"FEMALE","SUBURBAN",41016.000000,"YES",0,"NO","YES","NO","YES","NO"
"ID12119",62,"FEMALE","INNER_CITY",26909.200000,"YES",0,"NO","YES","NO","NO","YES"
"ID12120",31,"MALE","TOWN",22522.800000,"YES",0,"YES","YES","YES","NO","NO"
"ID12121",61,"MALE","INNER_CITY",57880.700000,"YES",2,"NO","YES","NO","NO","YES"
"ID12122",50,"MALE","TOWN",16497.300000,"YES",2,"NO","YES","YES","NO","NO"
"ID12123",54,"MALE","INNER_CITY",38446.600000,"YES",0,"NO","YES","YES","NO","NO"
"ID12124",27,"FEMALE","TOWN",15538.800000,"NO",0,"YES","YES","YES","YES","NO"
"ID12125",22,"MALE","INNER_CITY",12640.300000,"NO",2,"YES","YES","YES","NO","NO"
"ID12126",56,"MALE","INNER_CITY",41034.000000,"YES",0,"YES","YES","YES","YES","NO"
"ID12127",45,"MALE","INNER_CITY",20809.700000,"YES",0,"NO","YES","YES","YES","NO"
"ID12128",39,"FEMALE","TOWN",20114.000000,"YES",1,"NO","NO","YES","NO","YES"
"ID12129",39,"FEMALE","INNER_CITY",29359.100000,"NO",3,"YES","NO","YES","YES","NO"
"ID12130",61,"MALE","RURAL",24270.100000,"YES",1,"NO","NO","YES","NO","YES"
"ID12131",61,"FEMALE","RURAL",22942.900000,"YES",2,"NO","YES","YES","NO","NO"
"ID12132",20,"FEMALE","TOWN",16325.800000,"YES",2,"NO","YES","NO","NO","NO"
"ID12133",45,"MALE","SUBURBAN",23443.200000,"YES",1,"YES","YES","YES","NO","YES"
"ID12134",33,"FEMALE","INNER_CITY",29921.300000,"NO",3,"YES","YES","NO","NO","NO"
"ID12135",43,"MALE","SUBURBAN",37521.900000,"NO",0,"NO","YES","YES","NO","YES"
"ID12136",27,"FEMALE","INNER_CITY",19868.000000,"YES",2,"NO","YES","YES","NO","NO"
"ID12137",19,"MALE","RURAL",10953.000000,"YES",3,"YES","YES","YES","NO","NO"
"ID12138",36,"FEMALE","RURAL",13381.000000,"NO",0,"YES","NO","YES","NO","YES"
"ID12139",43,"FEMALE","TOWN",18504.300000,"YES",0,"YES","YES","YES","NO","NO"
"ID12140",66,"FEMALE","SUBURBAN",25391.500000,"NO",2,"NO","NO","YES","NO","NO"
"ID12141",55,"MALE","TOWN",26774.200000,"YES",0,"NO","NO","YES","YES","YES"
"ID12142",47,"FEMALE","INNER_CITY",26952.600000,"YES",0,"YES","NO","YES","NO","NO"
"ID12143",67,"MALE","TOWN",55716.500000,"NO",2,"YES","YES","NO","NO","YES"
"ID12144",32,"FEMALE","TOWN",27571.500000,"YES",0,"YES","NO","YES","YES","NO"
"ID12145",20,"MALE","INNER_CITY",13740.000000,"NO",2,"YES","YES","YES","YES","NO"
"ID12146",64,"MALE","INNER_CITY",52670.600000,"YES",2,"NO","YES","YES","YES","YES"
"ID12147",50,"FEMALE","INNER_CITY",13283.900000,"NO",1,"YES","YES","YES","NO","YES"
"ID12148",29,"MALE","INNER_CITY",13106.600000,"NO",2,"NO","YES","YES","YES","YES"
"ID12149",52,"MALE","INNER_CITY",39547.800000,"NO",2,"YES","NO","YES","NO","YES"
"ID12150",47,"FEMALE","RURAL",17867.300000,"YES",2,"YES","YES","NO","NO","NO"
