客户ID,产品_1,产品_2,产品_3,产品_4,产品_5,产品_6,产品_7,产品_8,产品_9,产品_10,产品_11,产品_12
"K233770","F","F","F","F","F","F","F","F","T","F","F","F"
"K393990","F","F","F","F","F","F","F","F","T","F","F","F"
"K211640","F","F","F","F","F","F","F","F","T","F","F","F"
"K249380","F","F","F","F","F","F","F","F","T","F","F","F"
"K395870","F","F","F","F","F","F","F","F","T","F","F","F"
"K396460","F","F","F","F","F","F","F","F","T","F","F","F"
"K101970","F","F","F","F","F","F","F","F","T","F","F","F"
"K247790","F","F","F","F","F","F","F","F","T","F","F","F"
"K101250","F","F","F","F","F","F","F","F","T","F","F","F"
"K396780","F","F","F","F","F","F","F","F","T","F","F","F"
"K392650","F","F","F","F","F","F","F","F","T","F","F","F"
"K242780","F","F","F","F","F","F","F","F","T","F","F","F"
"K394900","F","F","F","F","F","F","F","F","T","F","F","F"
"K236740","F","F","F","F","F","F","F","F","T","F","F","F"
"K387700","F","F","F","F","F","F","F","F","T","F","F","F"
"K242280","F","F","F","F","F","F","F","F","T","F","F","F"
"K248640","F","F","F","F","F","F","F","F","T","F","F","F"
"K251970","F","F","F","F","F","F","F","F","T","F","F","F"
"K377920","F","F","F","F","F","F","F","F","T","F","F","F"
"K380680","F","F","F","F","F","F","F","F","T","F","F","F"
"K389580","F","F","F","F","F","F","F","F","T","F","F","F"
"K246470","F","F","F","F","F","F","F","F","T","F","F","F"
"K364210","F","F","F","F","F","F","F","F","T","F","F","F"
"K394330","F","F","F","F","F","F","F","F","T","F","F","F"
"K100080","F","F","F","F","F","F","F","F","T","F","F","F"
"K391850","F","F","F","F","F","F","F","F","T","F","F","F"
"K213870","F","F","F","F","F","F","F","F","T","F","F","F"
"K387870","F","F","F","F","F","F","F","F","T","F","F","F"
"K385730","F","F","F","F","F","F","F","F","T","F","F","F"
"K243530","F","F","F","F","F","F","F","F","T","F","F","F"
"K383830","F","F","F","F","F","F","F","F","T","F","F","F"
"K245800","F","F","F","F","F","F","F","F","T","F","F","F"
"K249780","F","F","F","F","F","F","F","F","T","F","F","F"
"K380110","F","F","F","F","F","F","F","F","T","F","F","F"
"K251500","F","F","F","F","F","F","F","F","T","F","F","F"
"K383490","F","F","F","F","F","F","F","F","T","F","F","F"
"K243050","F","F","F","F","F","F","F","F","T","F","F","F"
"K233180","F","F","F","F","F","F","F","F","T","F","F","F"
"K211730","F","F","F","F","F","F","F","F","T","F","F","F"
"K392920","F","F","F","F","F","F","F","F","T","F","F","F"
"K212400","F","F","F","F","F","F","F","F","T","F","F","F"
"K236120","F","F","F","F","F","F","F","F","T","F","F","F"
"K238430","F","F","F","F","F","F","F","F","T","F","F","F"
"K390840","F","F","F","F","F","F","F","F","T","F","F","F"
"K244550","F","F","F","F","F","F","F","F","T","F","F","F"
"K100240","F","F","F","F","F","F","F","F","T","F","F","F"
"K101390","F","F","F","F","F","F","F","F","T","F","F","F"
"K101460","F","F","F","F","F","F","F","F","T","F","F","F"
"K233220","F","F","F","F","F","F","F","F","T","F","F","F"
"K239820","F","F","F","F","F","F","F","F","T","F","F","F"
"K238070","F","F","F","F","F","F","F","F","T","F","F","F"
"K238260","F","F","F","F","F","F","F","F","T","F","F","F"
"K242070","F","F","F","F","F","F","F","F","T","F","F","F"
"K244540","F","F","F","F","F","F","F","F","T","F","F","F"
"K383660","F","F","F","F","F","F","F","F","T","F","F","F"
"K247660","F","F","F","F","F","F","F","F","T","F","F","F"
"K379560","F","F","F","F","F","F","F","F","T","F","F","F"
"K253120","F","F","F","F","F","F","F","F","T","F","F","F"
"K380380","F","F","F","F","F","F","F","F","T","F","F","F"
"K382080","F","F","F","F","F","F","F","F","T","F","F","F"
"K247700","F","F","F","F","F","F","F","F","T","F","F","F"
"K247330","F","F","F","F","F","F","F","F","T","F","F","F"
"K386930","F","F","F","F","F","F","F","F","T","F","F","F"
"K385320","F","F","F","F","F","F","F","F","T","F","F","F"
"K238540","F","F","F","F","F","F","F","F","T","F","F","F"
"K377840","F","F","F","F","F","F","F","F","T","F","F","F"
"K233500","F","F","F","F","F","F","F","F","T","F","F","F"
"K391180","F","F","F","F","F","F","F","F","T","F","F","F"
"K211690","F","F","F","F","F","F","F","F","T","F","F","F"
"K101830","F","F","F","F","F","F","F","F","T","F","F","F"
"K101220","F","F","F","F","F","F","F","F","T","F","F","F"
"K410290","F","F","F","F","F","F","F","F","T","F","F","F"
"K115960","F","F","F","F","F","F","F","F","T","F","F","F"
"K132800","F","F","F","F","F","F","F","F","T","F","F","F"
"K152690","F","F","F","F","F","F","F","F","T","F","F","F"
"K401170","F","F","F","F","F","F","F","F","T","F","F","F"
"K117530","F","F","F","F","F","F","F","F","T","F","F","F"
"K205280","F","F","F","F","F","F","F","F","T","F","F","F"
"K141620","F","F","F","F","F","F","F","F","T","F","F","F"
"K155830","F","F","F","F","F","F","F","T","T","F","F","F"
"K163740","F","F","F","F","F","F","F","T","T","F","F","F"
"K169090","F","F","F","F","F","F","F","T","T","F","F","F"
"K170640","F","F","F","F","F","F","F","T","T","F","F","F"
"K178010","F","F","F","F","F","F","F","T","T","F","F","F"
"K199500","F","F","F","F","F","F","F","T","T","F","F","F"
"K199890","F","F","F","F","F","F","F","T","T","F","F","F"
"K210090","F","F","F","F","F","F","F","T","T","F","F","F"
"K395930","F","F","F","F","F","F","F","T","T","F","F","F"
"K395670","F","F","F","F","F","F","F","T","F","F","F","F"
"K387590","F","F","F","F","F","F","F","T","T","F","F","F"
"K379590","F","F","F","F","F","F","F","T","F","F","F","F"
"K250280","F","F","F","F","F","F","F","T","T","F","F","F"
"K250190","F","F","F","F","F","F","F","T","T","F","F","F"
"K239630","F","F","F","F","F","F","F","T","F","F","F","F"
"K211160","F","F","F","F","F","F","F","T","F","F","F","F"
"K410300","F","F","F","F","F","F","F","T","T","F","F","F"
"K410800","F","F","F","F","F","F","F","T","T","F","F","F"
"K240750","F","F","F","F","F","F","F","T","F","F","F","F"
"K241680","F","F","F","F","F","F","F","T","F","F","F","F"
"K245950","F","F","F","F","F","F","F","T","F","F","F","F"
"K404780","F","F","F","F","F","F","F","T","T","F","F","F"
"K252630","F","F","F","F","F","F","F","T","T","F","F","F"
"K382050","F","F","F","F","F","F","F","T","F","F","F","F"
"K387300","F","F","F","F","F","F","F","T","T","F","F","F"
"K390150","F","F","F","F","F","F","F","T","F","F","F","F"
"K392290","F","F","F","F","F","F","F","T","F","F","F","F"
"K206980","F","F","F","F","F","F","F","T","T","F","F","F"
"K206150","F","F","F","F","F","F","F","T","T","F","F","F"
"K200500","F","F","F","F","F","F","F","T","T","F","F","F"
"K190230","F","F","F","F","F","F","F","T","T","F","F","F"
"K188880","F","F","F","F","F","F","F","T","T","F","F","F"
"K337650","F","F","F","F","F","F","F","T","T","F","F","F"
"K337780","F","F","F","F","F","F","F","T","T","F","F","F"
"K185280","F","F","F","F","F","F","F","T","T","F","F","F"
"K179750","F","F","F","F","F","F","F","T","T","F","F","F"
"K165540","F","F","F","F","F","F","F","T","T","F","F","F"
"K342200","F","F","F","F","F","F","F","T","F","F","F","F"
"K343540","F","F","F","F","F","F","F","T","T","F","F","F"
"K344580","F","F","F","F","F","F","F","T","T","F","F","F"
"K348730","F","F","F","F","F","F","F","T","T","F","F","F"
"K349050","F","F","F","F","F","F","F","T","T","F","F","F"
"K412190","F","F","F","F","F","F","F","T","T","F","F","F"
"K349610","F","F","F","F","F","F","F","T","T","F","F","F"
"K349910","F","F","F","F","F","F","F","T","T","F","F","F"
"K351460","F","F","F","F","F","F","F","T","T","F","F","F"
"K351720","F","F","F","F","F","F","F","T","T","F","F","F"
"K356740","F","F","F","F","F","F","F","T","T","F","F","F"
"K359890","F","F","F","F","F","F","F","T","T","F","F","F"
"K365630","F","F","F","F","F","F","F","T","T","F","F","F"
"K364560","F","F","F","F","F","F","F","T","T","F","F","F"
"K361570","F","F","F","F","F","F","F","T","T","F","F","F"
"K366170","F","F","F","F","F","F","F","T","T","F","F","F"
"K367320","F","F","F","F","F","F","F","T","T","F","F","F"
"K368610","F","F","F","F","F","F","F","T","T","F","F","F"
"K354800","F","F","F","F","F","F","F","T","T","F","F","F"
"K349670","F","F","F","F","F","F","F","T","T","F","F","F"
"K341060","F","F","F","F","F","F","F","T","F","F","F","F"
"K411250","F","F","F","F","F","F","F","T","T","F","F","F"
"K336430","F","F","F","F","F","F","F","T","T","F","F","F"
"K338210","F","F","F","F","F","F","F","T","T","F","F","F"
"K346120","F","F","F","F","F","F","F","T","T","F","F","F"
"K347700","F","F","F","F","F","F","F","T","T","F","F","F"
"K355330","F","F","F","F","F","F","F","T","T","F","F","F"
"K356490","F","F","F","F","F","F","F","T","T","F","F","F"
"K358040","F","F","F","F","F","F","F","T","T","F","F","F"
"K358250","F","F","F","F","F","F","F","T","T","F","F","F"
