Customer_ID,Gender,Age,L_O_S,Tariff,Handset
"K100130","男",45,46.566667,"CAT 50","SOP20"
"K100150","男",30,26.900000,"CAT 50","SOP20"
"K100180","男",37,27.966667,"CAT 50","SOP10"
"K100270","男",44,29.833333,"CAT 50","SOP20"
"K100290","男",27,20.066667,"CAT 50","SOP20"
"K100360","男",30,45.700000,"CAT 50","SOP10"
"K100430","男",35,28.433333,"CAT 50","SOP10"
"K100500","男",50,46.666667,"CAT 50","SOP20"
"K100740","男",37,11.966667,"CAT 50","SOP10"
"K101010","男",28,49.300000,"Play 100","SOP10"
"K101090","男",37,42.100000,"Play 100","SOP20"
"K101140","男",28,9.833333,"Play 100","SOP10"
"K101150","男",30,19.966667,"Play 100","SOP20"
"K101160","男",32,20.300000,"Play 100","SOP20"
"K101220","男",32,46.300000,"Play 100","SOP10"
"K101330","男",44,20.633333,"Play 100","SOP10"
"K101390","男",43,25.566667,"Play 100","SOP10"
"K101510","男",34,36.900000,"Play 100","SOP10"
"K101560","男",44,43.666667,"Play 100","SOP20"
"K101690","男",33,26.766667,"Play 100","SOP20"
"K101760","男",28,31.066667,"Play 100","SOP20"
"K101780","男",33,25.966667,"Play 100","SOP20"
"K101800","男",40,51.466667,"Play 100","SOP10"
"K101870","男",31,24.366667,"Play 100","SOP20"
"K101910","男",25,28.700000,"Play 100","SOP10"
"K101990","男",41,34.733333,"Play 100","SOP20"
"K102050","男",36,48.866667,"Play 100","SOP10"
"K102250","男",55,9.766667,"CAT 50","SOP20"
"K102460","男",57,53.133333,"Play 100","SOP20"
"K102540","女",53,18.666667,"Play 100","SOP20"
"K102600","女",45,24.700000,"CAT 100","ASAD170"
"K102620","女",26,10.233333,"CAT 100","S50"
"K102630","女",35,49.033333,"CAT 100","ASAD170"
"K102640","男",27,58.000000,"CAT 100","S50"
"K102650","男",30,18.000000,"CAT 100","S50"
"K102660","女",31,27.266667,"CAT 100","S80"
"K102670","女",33,16.333333,"CAT 100","ASAD90"
"K102690","女",74,12.666667,"CAT 100","ASAD170"
"K102700","女",34,28.333333,"CAT 100","S50"
"K102710","男",31,25.700000,"CAT 100","S50"
"K102730","男",27,56.266667,"CAT 100","S50"
"K102740","女",26,53.366667,"CAT 100","ASAD90"
"K102750","女",40,32.800000,"CAT 100","ASAD170"
"K102760","男",52,51.133333,"CAT 100","ASAD90"
"K102780","女",32,53.133333,"CAT 100","ASAD170"
"K102790","女",35,34.566667,"CAT 100","S80"
"K102800","男",34,36.766667,"CAT 100","S80"
"K102830","女",48,36.433333,"CAT 100","ASAD170"
"K102840","女",26,27.333333,"CAT 100","S50"
"K102850","女",70,26.900000,"CAT 100","ASAD90"
"K102860","男",40,56.133333,"CAT 100","ASAD90"
"K102880","男",41,30.300000,"CAT 100","ASAD170"
"K102900","女",29,57.600000,"CAT 100","ASAD170"
"K102910","男",44,42.833333,"CAT 100","S50"
"K102920","男",33,42.600000,"CAT 100","S50"
"K102940","男",53,23.166667,"CAT 100","ASAD170"
"K102950","男",31,52.566667,"CAT 100","ASAD170"
"K102970","女",29,27.100000,"CAT 100","ASAD170"
"K102990","女",31,33.333333,"CAT 100","ASAD170"
"K103000","女",27,28.066667,"CAT 100","S80"
"K103010","女",31,34.500000,"CAT 100","ASAD170"
"K103020","女",34,49.733333,"CAT 100","S80"
"K103030","男",44,33.200000,"CAT 100","ASAD170"
"K103040","男",64,45.300000,"CAT 100","ASAD170"
"K103050","女",52,42.433333,"CAT 100","ASAD90"
"K103060","女",50,21.533333,"CAT 100","ASAD170"
"K103090","男",32,45.933333,"CAT 100","S50"
"K103110","男",35,23.700000,"CAT 100","S80"
"K103120","男",68,19.533333,"CAT 100","ASAD170"
"K103130","女",49,42.566667,"CAT 100","S80"
"K103140","男",42,57.633333,"CAT 100","S80"
"K103150","女",29,34.633333,"CAT 100","ASAD170"
"K103160","男",32,44.633333,"CAT 100","S50"
"K103180","男",27,34.566667,"CAT 100","S80"
"K103200","女",29,22.100000,"CAT 100","S80"
"K103210","男",32,23.233333,"CAT 100","ASAD90"
"K103220","女",27,38.466667,"CAT 100","S80"
"K103230","男",26,36.700000,"CAT 100","ASAD170"
"K103240","男",46,48.266667,"CAT 100","S50"
"K103250","男",47,45.866667,"CAT 100","S50"
"K103260","女",30,17.166667,"CAT 100","S50"
"K103270","女",66,47.666667,"CAT 100","S50"
"K103280","男",27,30.866667,"CAT 100","S50"
"K103290","男",42,54.866667,"CAT 100","S50"
"K103300","女",56,46.633333,"CAT 100","S50"
"K103310","女",29,33.166667,"CAT 100","S50"
"K103330","女",27,21.366667,"CAT 100","S50"
"K103350","女",29,29.100000,"CAT 100","ASAD170"
"K103370","男",34,46.566667,"CAT 100","S50"
"K103380","男",59,36.833333,"CAT 100","ASAD90"
"K103390","男",42,50.733333,"CAT 100","S50"
"K103400","女",52,23.700000,"CAT 100","S80"
"K103410","女",46,21.533333,"CAT 100","S80"
"K103420","女",35,20.666667,"CAT 100","S80"
"K103430","男",28,55.633333,"CAT 100","ASAD170"
"K103440","女",26,22.533333,"CAT 100","S80"
"K103460","男",40,25.500000,"CAT 100","S50"
"K103470","男",39,34.800000,"CAT 100","ASAD170"
"K103480","男",29,22.700000,"CAT 100","S50"
"K103500","男",41,11.833333,"CAT 100","S80"
"K103510","男",30,25.633333,"CAT 100","ASAD170"
"K103520","男",27,20.433333,"CAT 100","ASAD170"
"K103540","女",40,42.866667,"CAT 100","S50"
"K103550","女",26,22.400000,"CAT 100","S50"
"K103560","男",28,46.633333,"CAT 100","ASAD90"
"K103570","男",69,16.933333,"CAT 100","ASAD170"
"K103580","男",56,31.366667,"CAT 100","S80"
"K103590","男",30,30.300000,"CAT 100","S50"
"K103610","男",32,38.333333,"CAT 100","S80"
"K103630","男",52,47.400000,"CAT 100","ASAD90"
"K103640","男",26,36.433333,"CAT 100","S50"
"K103650","女",52,29.366667,"CAT 100","S80"
"K103660","男",27,49.400000,"CAT 100","ASAD170"
"K103680","女",29,16.066667,"CAT 100","S80"
"K103710","女",32,31.066667,"CAT 100","ASAD170"
"K103720","女",33,50.433333,"CAT 100","ASAD90"
"K103730","男",61,48.600000,"CAT 100","ASAD170"
"K103740","男",27,51.466667,"CAT 100","ASAD90"
"K103760","女",55,27.700000,"CAT 100","ASAD170"
"K103770","女",32,32.266667,"CAT 100","S50"
"K103780","女",33,21.833333,"CAT 100","S50"
"K103790","男",42,53.566667,"CAT 100","ASAD170"
"K103800","女",43,33.033333,"CAT 100","S50"
"K103830","女",54,10.900000,"CAT 100","ASAD170"
"K103840","女",39,48.400000,"CAT 100","ASAD170"
"K103850","男",39,36.166667,"CAT 100","S80"
"K103860","男",40,21.966667,"CAT 100","S50"
"K103890","女",27,54.300000,"CAT 100","S80"
"K103900","男",41,56.800000,"CAT 100","S80"
"K103910","女",28,29.200000,"CAT 100","ASAD170"
"K103920","男",31,48.500000,"CAT 100","S50"
"K103930","男",57,33.700000,"CAT 100","S50"
"K103940","女",42,55.066667,"CAT 100","ASAD170"
"K103950","女",31,56.700000,"CAT 100","ASAD90"
"K103960","女",70,15.800000,"CAT 100","S80"
"K103970","女",48,50.566667,"CAT 100","S80"
"K103980","男",79,45.100000,"CAT 100","S80"
"K103990","男",42,42.133333,"CAT 100","S80"
"K104000","女",33,40.500000,"CAT 100","S50"
"K104010","女",26,25.266667,"CAT 100","ASAD170"
"K104020","女",28,51.800000,"CAT 100","S80"
"K104030","男",32,27.300000,"CAT 100","S50"
"K104040","女",40,26.700000,"CAT 100","S50"
"K104050","女",28,19.533333,"CAT 100","S50"
"K104080","女",29,15.266667,"CAT 100","S80"
"K104100","女",26,32.500000,"CAT 100","ASAD170"
"K104110","女",45,33.566667,"CAT 100","ASAD170"
"K104120","男",48,51.966667,"CAT 100","S80"
"K104130","女",50,27.266667,"CAT 100","S50"
"K104140","男",28,15.233333,"CAT 100","S80"
"K104150","男",46,13.200000,"CAT 100","ASAD170"
"K104160","男",31,11.833333,"CAT 100","ASAD170"
"K104170","女",34,10.066667,"CAT 100","S80"
"K104180","男",32,31.133333,"CAT 100","S80"
"K104190","女",50,15.133333,"CAT 100","S80"
"K104200","男",35,42.733333,"CAT 100","S80"
"K104210","女",38,33.233333,"CAT 100","S50"
"K104220","女",38,24.000000,"CAT 100","S80"
"K104230","女",37,28.600000,"CAT 100","S50"
"K104240","女",27,45.900000,"CAT 100","ASAD170"
"K104260","女",37,37.800000,"CAT 100","S80"
"K104270","男",47,57.866667,"CAT 100","S50"
"K104280","女",51,53.133333,"CAT 100","ASAD170"
"K104300","女",27,10.300000,"CAT 100","S50"
"K104310","男",48,36.366667,"CAT 100","S80"
"K104320","男",26,48.466667,"CAT 100","ASAD170"
"K104330","男",36,50.400000,"CAT 100","ASAD170"
"K104350","女",31,42.566667,"CAT 100","ASAD90"
"K104360","男",35,51.833333,"CAT 100","ASAD170"
"K104370","男",66,30.433333,"CAT 100","S80"
"K104380","女",32,14.633333,"CAT 100","S80"
"K104390","女",30,14.266667,"CAT 100","ASAD170"
"K104410","男",37,10.966667,"CAT 100","S50"
"K104420","女",44,22.266667,"CAT 100","S80"
"K104430","男",31,12.733333,"CAT 100","ASAD170"
"K104440","女",38,40.733333,"CAT 100","S80"
"K104450","男",72,45.566667,"CAT 100","S50"
"K104460","女",27,48.266667,"CAT 100","ASAD170"
"K104470","女",36,29.000000,"CAT 100","S80"
"K104490","男",53,17.400000,"CAT 100","S80"
"K104510","男",38,47.766667,"CAT 100","ASAD170"
"K104520","男",28,30.500000,"CAT 100","ASAD90"
"K104540","男",56,24.466667,"CAT 100","S50"
"K104560","女",52,56.033333,"CAT 100","S50"
"K104580","男",52,31.866667,"CAT 100","S50"
"K104590","男",51,21.700000,"CAT 100","S80"
"K104600","男",67,29.800000,"CAT 100","S50"
"K104610","男",38,51.566667,"CAT 100","S80"
"K104630","女",45,13.766667,"CAT 100","ASAD170"
"K104650","男",45,19.866667,"CAT 100","S50"
"K104660","女",31,40.666667,"CAT 100","S80"
"K104670","男",46,38.233333,"CAT 100","S50"
