后项	前项 	规则 ID	实例	支持度 %	置信度 %
PR_10019414197 = T	PR_10061232966 = T	1	1	1.786	100.0
PR_10019414197 = T	PR_10018213670 = T	2	1	1.786	100.0
PR_10018513816 = T	PR_10060132429 = T	3	1	1.786	100.0
PR_10019114014 = T	PR_10018613841 = T	4	1	1.786	100.0
PR_10017513383 = T	PR_10018613841 = T	5	1	1.786	100.0
PR_10061032940 = T	PR_10018613841 = T	6	1	1.786	100.0
PR_10061032940 = T	PR_10019114014 = T	7	7	12.5	100.0
PR_10061032940 = T	PR_10061633122 = T	8	9	16.071	100.0
PR_10017513383 = T	PR_10018613841 = T and PR_10019114014 = T	10	1	1.786	100.0
PR_10019114014 = T	PR_10018613841 = T and PR_10017513383 = T	11	1	1.786	100.0
PR_10061032940 = T	PR_10018613841 = T and PR_10019114014 = T	12	1	1.786	100.0
PR_10019114014 = T	PR_10018613841 = T and PR_10061032940 = T	13	1	1.786	100.0
PR_10061032940 = T	PR_10018613841 = T and PR_10017513383 = T	14	1	1.786	100.0
PR_10017513383 = T	PR_10018613841 = T and PR_10061032940 = T	15	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10018313785 = T	16	1	1.786	100.0
PR_10018313785 = T	PR_10059932355 = T and PR_10061633122 = T	17	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10018313785 = T	18	1	1.786	100.0
PR_10018313785 = T	PR_10059932355 = T and PR_10017513383 = T	19	1	1.786	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10018313785 = T	20	1	1.786	100.0
PR_10018313785 = T	PR_10059932355 = T and PR_10061032940 = T	21	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10061633122 = T	22	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10017513383 = T	23	1	1.786	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10061633122 = T	24	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10061032940 = T	25	1	1.786	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10017513383 = T	26	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10061032940 = T	27	1	1.786	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10019114014 = T	28	1	1.786	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10019114014 = T	29	1	1.786	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10019114014 = T	30	1	1.786	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10061633122 = T	31	3	5.357	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10017513383 = T	32	3	5.357	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10061633122 = T	33	3	5.357	100.0
PR_10061633122 = T	PR_10018313785 = T and PR_10061032940 = T	34	3	5.357	100.0
PR_10061032940 = T	PR_10018313785 = T and PR_10017513383 = T	35	3	5.357	100.0
PR_10017513383 = T	PR_10018313785 = T and PR_10061032940 = T	36	3	5.357	100.0
PR_10017513383 = T	PR_10019114014 = T and PR_10061633122 = T	37	4	7.143	100.0
PR_10061032940 = T	PR_10019114014 = T and PR_10061633122 = T	38	4	7.143	100.0
PR_10061032940 = T	PR_10019114014 = T and PR_10017513383 = T	39	5	8.929	100.0
PR_10061032940 = T	PR_10061633122 = T and PR_10017513383 = T	40	8	14.286	100.0
PR_10061032940 = T	PR_10018613841 = T and PR_10019114014 = T and PR_10017513383 = T	41	1	1.786	100.0
PR_10017513383 = T	PR_10018613841 = T and PR_10019114014 = T and PR_10061032940 = T	42	1	1.786	100.0
PR_10019114014 = T	PR_10018613841 = T and PR_10017513383 = T and PR_10061032940 = T	43	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10061633122 = T	44	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10017513383 = T	45	1	1.786	100.0
PR_10018313785 = T	PR_10059932355 = T and PR_10061633122 = T and PR_10017513383 = T	46	1	1.786	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10061633122 = T	47	1	1.786	100.0
PR_10061633122 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10061032940 = T	48	1	1.786	100.0
PR_10018313785 = T	PR_10059932355 = T and PR_10061633122 = T and PR_10061032940 = T	49	1	1.786	100.0
PR_10061032940 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10017513383 = T	50	1	1.786	100.0
PR_10017513383 = T	PR_10059932355 = T and PR_10018313785 = T and PR_10061032940 = T	51	1	1.786	100.0
