后项	前项 	规则 ID	实例	支持度 %	置信度 %	规则支持 %	提升	部署能力
Proc_17 = T	诊断方法 = 707	12	139	1.469	100.0	1.469	2.627	0.0
Proc_33 = T	诊断方法 = 780	42	161	1.702	100.0	1.702	4.285	0.0
Proc_20 = T	诊断方法 = 401	124	248	2.621	100.0	2.621	2.504	0.0
Proc_74 = T	诊断方法 = 496	125	198	2.093	100.0	2.093	21.121	0.0
Proc_20 = T	诊断方法 = V65	159	397	4.196	100.0	4.196	2.504	0.0
Proc_84 = T	诊断方法 = V58	164	295	3.118	100.0	3.118	11.696	0.0
Proc_89 = T	诊断方法 = 786	184	419	4.428	100.0	4.428	3.364	0.0
Proc_88 = T	诊断方法 = 250	191	282	2.98	100.0	2.98	13.015	0.0
Proc_33 = T	诊断方法 = V95	223	1,153	12.186	100.0	12.186	4.285	0.0
Proc_20 = T	诊断方法 = V41	250	1,648	17.417	99.697	17.364	2.496	0.053
Proc_17 = T	诊断方法 = 304	73	178	1.881	99.438	1.871	2.612	0.011
Proc_20 = T	诊断方法 = 346	36	114	1.205	99.123	1.194	2.482	0.011
Proc_17 = T	诊断方法 = V99	98	201	2.124	99.005	2.103	2.601	0.021
Proc_29 = T	诊断方法 = 788	255	1,553	16.413	98.97	16.244	4.019	0.169
Proc_17 = T	诊断方法 = 510	111	194	2.05	98.969	2.029	2.6	0.021
Proc_17 = T	诊断方法 = V41	249	1,648	17.417	98.665	17.185	2.592	0.233
Proc_89 = T	诊断方法 = 788	256	1,553	16.413	98.261	16.128	3.305	0.285
Proc_17 = T	诊断方法 = 296	61	147	1.554	97.959	1.522	2.573	0.032
Proc_23 = T	诊断方法 = 770	236	812	8.582	97.783	8.391	5.837	0.19
Proc_20 = T	诊断方法 = 729	25	115	1.215	97.391	1.184	2.439	0.032
Proc_29 = T	诊断方法 = V53	144	224	2.367	96.875	2.293	3.934	0.074
Proc_20 = T	诊断方法 = 789	87	152	1.606	96.711	1.554	2.421	0.053
