Time,Date,Username
'10:08:25','21/02/2001','user_4077493'
'05:44:10','25/02/2001','user_2519205'
'10:44:42','25/02/2001','user_2904387'
'17:01:14','18/02/2001','user_1276455'
'07:59:26','22/02/2001','user_1459969'
'08:09:35','19/02/2001','user_340352'
'04:10:52','24/02/2001','user_2414537'
'07:56:44','24/02/2001','user_2153136'
'06:28:37','22/02/2001','user_1746177'
'19:33:20','21/02/2001','user_4604291'
'08:27:21','20/02/2001','user_2049567'
'17:18:53','25/02/2001','user_1459969'
'04:00:33','21/02/2001','user_693108'
'16:06:30','25/02/2001','user_2510168'
'10:44:23','21/02/2001','user_376772'
'08:52:42','24/02/2001','user_4110805'
'03:33:15','22/02/2001','user_4110805'
'16:05:50','24/02/2001','user_1228040'
'05:50:37','21/02/2001','user_118404'
'18:50:04','23/02/2001','user_3272958'
'04:43:35','19/02/2001','user_4458128'
'11:36:55','25/02/2001','user_4066728'
'04:58:54','25/02/2001','user_3327759'
'06:06:34','23/02/2001','user_4395799'
'04:00:24','23/02/2001','user_3015816'
'18:37:21','18/02/2001','user_4138517'
'17:15:35','25/02/2001','user_4273380'
'21:51:02','21/02/2001','user_3680870'
'10:32:48','25/02/2001','user_686690'
'03:39:28','23/02/2001','user_4139083'
'07:28:21','22/02/2001','user_2946172'
'20:59:24','23/02/2001','user_1711376'
'14:53:46','25/02/2001','user_558283'
'14:32:33','22/02/2001','user_3751061'
'08:11:55','23/02/2001','user_665332'
'17:31:16','25/02/2001','user_4726948'
'06:40:19','19/02/2001','user_870465'
'16:03:56','24/02/2001','user_641233'
'19:03:18','23/02/2001','user_3973745'
'21:00:40','24/02/2001','user_4214749'
'01:08:38','24/02/2001','user_4119246'
'17:40:28','22/02/2001','user_513893'
'00:02:07','22/02/2001','user_4208677'
'20:44:21','24/02/2001','user_3796257'
'20:16:30','24/02/2001','user_1032005'
'20:25:02','20/02/2001','user_2770546'
'06:57:42','24/02/2001','user_1102874'
'15:13:11','20/02/2001','user_278583'
'20:02:22','23/02/2001','user_1459969'
'23:21:29','25/02/2001','user_4458128'
'07:19:49','25/02/2001','user_3539745'
'18:20:32','24/02/2001','user_4089797'
'11:14:35','20/02/2001','user_1851658'
'13:58:08','21/02/2001','user_4773435'
'20:59:21','22/02/2001','user_4649154'
'22:18:41','25/02/2001','user_693108'
'16:45:30','25/02/2001','user_1805427'
'11:32:14','22/02/2001','user_297839'
'08:54:55','24/02/2001','user_1195606'
'04:47:17','23/02/2001','user_4921085'
'02:27:22','23/02/2001','user_2542181'
'20:39:15','22/02/2001','user_4747789'
'03:26:35','24/02/2001','user_4591563'
'07:26:32','23/02/2001','user_3154006'
'07:00:41','25/02/2001','user_3221142'
'06:38:09','25/02/2001','user_4766693'
'20:34:08','21/02/2001','user_1851658'
'09:07:06','25/02/2001','user_1160650'
'11:18:35','18/02/2001','user_1438520'
'11:56:08','20/02/2001','user_3057841'
'19:08:29','22/02/2001','user_4110149'
'09:10:30','22/02/2001','user_2416973'
'23:31:07','21/02/2001','user_195094'
'23:35:41','23/02/2001','user_1844677'
'19:06:37','19/02/2001','user_3077160'
'05:37:52','21/02/2001','user_4475420'
'08:53:56','24/02/2001','user_588736'
'19:24:21','21/02/2001','user_614843'
'04:55:27','21/02/2001','user_614843'
'11:17:06','24/02/2001','user_2537938'
'00:10:29','20/02/2001','user_4378392'
'15:43:12','22/02/2001','user_2854128'
'07:46:41','24/02/2001','user_4384884'
'19:30:58','25/02/2001','user_840338'
'11:39:21','25/02/2001','user_1343559'
'02:35:29','24/02/2001','user_626959'
'14:01:10','25/02/2001','user_2712083'
'12:34:27','19/02/2001','user_1741948'
'21:22:35','23/02/2001','user_3432059'
'09:28:08','24/02/2001','user_2335909'
'12:36:41','22/02/2001','user_3796257'
'15:59:56','18/02/2001','user_218336'
'16:50:00','25/02/2001','user_2511565'
'02:51:11','25/02/2001','user_2116699'
'20:43:13','22/02/2001','user_1805427'
'06:50:39','22/02/2001','user_927007'
'04:35:45','22/02/2001','user_3376122'
'23:36:11','20/02/2001','user_2519205'
'13:01:45','25/02/2001','user_1955562'
'03:55:41','25/02/2001','user_986264'
'19:06:34','24/02/2001','user_1375492'
'07:32:43','24/02/2001','user_17169'
'23:43:14','23/02/2001','user_520548'
'12:22:52','25/02/2001','user_1033884'
'19:14:09','23/02/2001','user_1959571'
'00:52:58','19/02/2001','user_4788468'
'17:38:54','19/02/2001','user_2416973'
'15:10:34','23/02/2001','user_1441229'
'21:51:27','21/02/2001','user_1598893'
'21:39:05','20/02/2001','user_813000'
'12:11:43','20/02/2001','user_289764'
'11:10:06','25/02/2001','user_1661818'
'13:19:28','25/02/2001','user_1701689'
'10:25:20','23/02/2001','user_810513'
'13:41:34','24/02/2001','user_319915'
'08:01:14','25/02/2001','user_1228040'
'17:30:57','25/02/2001','user_1686360'
'21:38:58','24/02/2001','user_498074'
'11:54:30','23/02/2001','user_2848259'
'19:51:00','24/02/2001','user_64510'
'02:47:43','24/02/2001','user_2665993'
'16:41:07','21/02/2001','user_1438520'
'03:52:27','23/02/2001','user_3876129'
'12:48:27','23/02/2001','user_3178066'
'20:59:44','22/02/2001','user_394695'
'08:04:44','24/02/2001','user_3808871'
'03:36:41','19/02/2001','user_4544750'
'00:41:33','23/02/2001','user_3751180'
'05:25:32','23/02/2001','user_3934534'
'01:07:31','25/02/2001','user_3571842'
'16:27:16','20/02/2001','user_2449913'
'13:55:00','22/02/2001','user_3432059'
'08:22:12','25/02/2001','user_2762571'
'00:56:36','22/02/2001','user_289764'
'18:47:47','24/02/2001','user_4622868'
'11:58:40','25/02/2001','user_2842121'
'14:22:51','25/02/2001','user_2557960'
'11:16:43','22/02/2001','user_4470849'
'06:25:11','25/02/2001','user_1381684'
'16:08:28','25/02/2001','user_2511565'
'07:43:09','24/02/2001','user_1227221'
'20:39:03','18/02/2001','user_3796257'
'03:22:58','21/02/2001','user_1856247'
'23:26:20','25/02/2001','user_3485315'
'05:41:27','21/02/2001','user_3586030'
'09:37:28','21/02/2001','user_475005'
'05:50:15','24/02/2001','user_1121345'
'22:28:24','24/02/2001','user_2344688'
'22:31:08','25/02/2001','user_1514784'
'06:34:32','25/02/2001','user_789021'
'07:54:42','25/02/2001','user_2971719'
'12:04:03','25/02/2001','user_4241151'
'16:24:57','23/02/2001','user_2468791'
'22:49:23','24/02/2001','user_2477238'
'19:19:52','20/02/2001','user_2186859'
'22:42:35','20/02/2001','user_2033822'
'06:20:32','23/02/2001','user_1751037'
'03:44:54','22/02/2001','user_3934534'
'18:40:10','18/02/2001','user_2717791'
