VisitID,TimeStamp,term,page_after
Visit_10018,67691675,Child,/children/children.htm
Visit_10018,67691675,Child,/children/children.htm
Visit_10018,67691675,Children,/children/children.htm
Visit_10029,67570574,Fourth,main.htm
Visit_1003,67627977,Furter,actorssearch.asp
Visit_1003,67627977,Furter,actorssearch.asp
Visit_1003,67629757,Chapman,splash.htm
Visit_10037,67833997,Chapman,actorssearch.asp
Visit_10039,67552763,Children,genresearch.asp
Visit_10047,67496192,Newever,actorssearch.asp
Visit_10052,67708273,Clue,
Visit_10052,67708273,Rebel,
Visit_10062,67902157,Low,main.htm
Visit_10096,67536396,Hilarious,genresearch.asp
Visit_10096,67536396,Funny,genresearch.asp
Visit_10096,67536396,Hilarious,genresearch.asp
Visit_10097,67723882,Adventure,/adventure/adventure.htm
Visit_10097,67723882,Tense,/adventure/adventure.htm
Visit_10097,67723882,Action,/adventure/adventure.htm
Visit_10097,67723882,Tense,/adventure/adventure.htm
Visit_10097,67723882,Tense,/adventure/adventure.htm
Visit_10114,67673171,Apes,/humour/comedy.htm
Visit_10117,67628748,Kermat,/children/thebuppets.htm
Visit_10117,67636000,Child,genresearch.asp
Visit_10117,67636000,Children,genresearch.asp
Visit_10117,67636000,Young,genresearch.asp
Visit_10124,67831466,West,genresearch.asp
Visit_10124,67831466,Western,genresearch.asp
Visit_10132,67673462,Blown,/humour/sirens.htm
Visit_10135,67733821,Westwood,actorssearch.asp
Visit_10135,67735393,Rebel,keyword_search.asp
Visit_10140,67813872,Terryfying,main.htm
Visit_10140,67813872,Tense,main.htm
Visit_10140,67813872,Tense,main.htm
Visit_10140,67813872,Scary,main.htm
Visit_10141,67316630,Shoanery,actorssearch.asp
Visit_10144,67312041,Peters,main.htm
Visit_10145,67328180,Kermat,
Visit_10162,67744436,West,
Visit_10164,67697570,Reeves,/sci_fi/5by5.htm
Visit_10169,67630094,wacky,main.htm
Visit_10169,67630094,wacky,main.htm
Visit_10169,67630094,Rib&&tickling,main.htm
Visit_10169,67630094,Hilarious,main.htm
Visit_10169,67630094,Rib&&tickling,main.htm
Visit_10173,67607086,Science,/sci_fi/scifi.htm
Visit_10173,67607086,Science,/sci_fi/scifi.htm
Visit_10173,67607086,Fiction,/sci_fi/scifi.htm
Visit_10173,67607086,Futuristic,/sci_fi/scifi.htm
Visit_1018,67678673,Crying,/horror/psychic.htm
Visit_10191,67464421,Helicopter,/western/western.htm
Visit_10191,67464421,Helicopter,/western/western.htm
Visit_10204,67785811,Musical,genresearch.asp
Visit_10204,67785811,Funny,genresearch.asp
Visit_10204,67785811,Hilarious,genresearch.asp
Visit_10207,67785467,Story,keyword_search.asp
Visit_10213,67779811,Exciting,genresearch.asp
Visit_10213,67779811,Adventure,genresearch.asp
Visit_10213,67779811,Exciting,genresearch.asp
Visit_10213,67779811,Action,genresearch.asp
Visit_10213,67779811,Action&&Packed,genresearch.asp
Visit_10213,67779811,Action&&Packed,genresearch.asp
Visit_10218,67845801,Sellar,login.asp?
Visit_10218,67845801,Peters,login.asp?
Visit_10228,67661827,King,
Visit_10238,67461502,Westwood,actorssearch.asp
Visit_10240,67804732,Children,/children/thebuppetsgotolondon.htm
Visit_10240,67808357,Young,genresearch.asp
Visit_10240,67808357,Children,genresearch.asp
Visit_10240,67808357,Young,genresearch.asp
Visit_10241,67483313,Story,purchase.asp
Visit_10252,67502934,Comedy,/humour/comedy.htm
Visit_10252,67502934,Funny,/humour/comedy.htm
Visit_10252,67502934,Funny,/humour/comedy.htm
Visit_10253,67616903,Reeves,/sci_fi/5by5.htm
Visit_10255,67619381,Grate,main.htm
Visit_10255,67619381,Holly,main.htm
Visit_10255,67621006,Midnight,
Visit_10255,67621006,Low,
Visit_10256,67373676,Young,/children/children.htm
Visit_10256,67373676,Children,/children/children.htm
Visit_10264,67520750,Story,keyword_search.asp
Visit_10277,67362473,Joan,
Visit_10277,67362473,Joan,
Visit_10280,67491813,Children,/children/children.htm
Visit_103,67796560,Low,/western/lowmidnight.htm
Visit_103,67796560,Midnight,/western/lowmidnight.htm
Visit_10307,67878997,Blown,/humour/sirens.htm
Visit_10307,67878997,Blown,/humour/sirens.htm
Visit_10317,67558706,Bomb,/humour/droddbloke.htm
Visit_10317,67558706,Love,/humour/droddbloke.htm
Visit_10317,67558706,Bomb,/humour/droddbloke.htm
Visit_10325,67908886,Young,splash.htm
Visit_10325,67908886,Young,splash.htm
